"summons_key";"summons_date";"offense_description";"age_group";"sex";"race";"jurisdiction_code";"boro";"precinct_of_occur";"x_coordinate_cd";"y_coordinate_cd";"latitude";"longitude";"law_section_number";"law_description";"summons_category_type";"year"
164183386;"2011-04-26 00:00:00";"FAILURE TO COMPLY WITH SIGN";"18-24";"M";"WHITE HISPANIC";"0";"QUEENS";114;1005366;222203;"40.77655521100007";"-73.92376003599996";"1-03";"Park Regs";"PARK REGS";2011
158764094;"2011-11-22 00:00:00";"MARIJUANA, POSSESSION OF";"18-24";"F";"WHITE HISPANIC";"0";"QUEENS";114;1009426;219548;"40.76925730200002";"-73.90911095799999";"221.05";"Penal Law";"MARIJUANA";2011
163407478;"2014-04-01 00:00:00";"URINATING IN PUBLIC";"25-44";"M";"BLACK";"0";"BROOKLYN";90;996225;197179;"40.70788767800008";"-73.95680906299998";"16-1186";"Administrative Code";"URINATING";2014
165721601;"2014-06-10 00:00:00";"FAILURE TO COMPLY WITH SIGN";"<18";"M";"BLACK";"0";"MANHATTAN";26;998641;236979;"40.81712482300003";"-73.94800964599993";"1-03";"Park Regs";"PARK REGS";2014
172984590;"2014-12-23 00:00:00";"DISORDERLY CONDUCT";"25-44";"M";"BLACK";"0";"QUEENS";103;1039647;195586;"40.70334997200007";"-73.80020457099994";"240.20";"Penal Law";"DISORDERLY CONDUCT";2014
160253033;"2016-01-12 00:00:00";"ACCEPT ON HAIL";"45-64";"M";"BLACK";"0";"BROOKLYN";67;1001432;176596;"40.65138343500007";"-73.93808052199995";"19-507";"Administrative Code";"TLC";2016
161148931;"2016-01-26 00:00:00";"URINATING IN PUBLIC";"25-44";"M";"BLACK";"0";"BROOKLYN";72;982206;177817;"40.65475124500005";"-74.007368032";"16-1186";"Administrative Code";"URINATING";2016
151041144;"2016-02-16 00:00:00";"URINATING IN PUBLIC";"25-44";"M";"BLACK";"1";"BROOKLYN";69;1012560;176285;"40.65050122600008";"-73.89797849099993";"16-1186";"Administrative Code";"URINATING";2016
150874375;"2016-03-01 00:00:00";"DISCON: OBSTRUCT PEDESTRIAN";"18-24";"M";"WHITE HISPANIC";"0";"BRONX";46;1009331;250025;"40.85290843100006";"-73.90934005599996";"240.205A";"Penal Law";"DISORDERLY CONDUCT";2016
150874451;"2016-03-01 00:00:00";"TRESPASS";"45-64";"M";"WHITE HISPANIC";"0";"QUEENS";114;1008736;213682;"40.75315858100004";"-73.91162336299993";"140.05";"Penal Law";"TRESPASS";2016
151041148;"2016-03-01 00:00:00";"CONSUMPTION OF ALCOHOL";"45-64";"M";"BLACK";"1";"BROOKLYN";94;995969;200806;"40.71784327200004";"-73.957726112";"10-125";"Administrative Code";"ALCOHOL";2016
151309552;"2016-03-15 00:00:00";"FAILURE TO COMPLY WITH SIGN";"18-24";"F";"WHITE HISPANIC";"0";"STATEN ISLAND";122;944670;136935;"40.54245034300004";"-74.14240836399993";"1-03";"Park Regs";"PARK REGS";2016
151281278;"2016-03-15 00:00:00";"UNLICENSED VEHICLE FOR HIRE";"25-44";"M";"WHITE HISPANIC";"0";"BROOKLYN";77;1003393;183441;"40.67016742700008";"-73.93099399199998";"19-506";"Administrative Code";"TLC";2016
151281296;"2016-03-15 00:00:00";"CONSUMPTION OF ALCOHOL";"25-44";"M";"WHITE HISPANIC";"0";"STATEN ISLAND";120;963011;168377;"40.628815238000065";"-74.07651719999996";"10-125";"Administrative Code";"ALCOHOL";2016
151309556;"2016-03-15 00:00:00";"CONSUMPTION OF ALCOHOL";"25-44";"M";"BLACK";"0";"STATEN ISLAND";120;963152;171634;"40.63775534800004";"-74.07601941699994";"10-125";"Administrative Code";"ALCOHOL";2016
151309545;"2016-03-15 00:00:00";"CONSUMPTION OF ALCOHOL";"25-44";"M";"BLACK";"0";"BROOKLYN";79;1000401;192939;"40.69624323500005";"-73.94175690599997";"10-125";"Administrative Code";"ALCOHOL";2016
